from_field_name,Acarology and Arachnology,Alien insects,Apiculture and Sericulture,Biological Control,Chemical Ecology,"Conservation, Biodiversity and Biogeography",Development and Reproduction,Ecology and Evolution,Genetics and Genomics,Immunology and Pathology,Insect-Microbe Interactions,"Insects as Food, Feed and Pollinators",Medical and Veterinary Entomology,Others,Pest Management,"Pesticides, GM Crops, Resistance and Toxicology","Physiology, Neurobiology and Molecular Biology",Social Insects,Special Issue: Biomimetics and Robotics,"Systematics, Phylogeny and Morphology",Unselected
Insect-Microbe Interactions,3.545270623464466,4.149127090654038,3.995621639695054,7.809858247907009,6.502927230104108,6.197815922917593,4.281428638900833,10.212317312716152,5.385769960146261,2.7459132979751257,9.316724783398653,6.027531156252504,6.070744974086659,3.6722941493840136,9.448903867941432,4.69979500421018,6.236297750139863,5.689629518483697,3.178572660236068,7.065159020176869,4.68540165667764
"Insects as Food, Feed and Pollinators",3.208162935949484,3.769396904068217,3.6141192254268577,7.0567262245038975,5.887216276611494,5.670724753538917,3.908981964655481,9.214398019708133,4.882284172147315,2.5026375577776534,6.027531156252504,7.5086034143247025,5.508746654400666,3.366034730123558,8.558361941189387,4.257188734552672,5.707747250325715,5.156019048490838,2.8878730985969647,6.445567704989191,4.311599852305542
Medical and Veterinary Entomology,3.250663280255192,3.8029918697781997,3.672592369158101,7.151956616309352,6.0217734929171325,5.718008230808854,3.921872419698975,9.383166161077844,4.941998741237868,2.5336988593753875,6.070744974086659,5.508746654400666,7.78206284950279,3.3709420508220638,8.663031282408928,4.312679533654221,5.7176961581052455,5.2210467023767695,2.9110117360806798,6.440656492128884,4.332542608631517
Others,1.9451273949031755,2.2952993268851163,2.206501663267155,4.337255913869938,3.643203403105735,3.4217159315757435,2.3460195586568355,5.709498085646714,2.9832231685876702,1.515891734260488,3.6722941493840136,3.366034730123558,3.3709420508220638,2.8012499964124284,5.17396499868337,2.603870137391614,3.463050353373379,3.1565174170923873,1.7492847716708804,3.8639718671855148,2.578505520568067
Pest Management,5.0208410839221935,5.903179927327413,5.679655343909449,11.1362654058708,9.283253080144766,8.789191522682636,6.09945767018694,14.6439318613001,7.6431085796289855,3.8830126646204874,9.448903867941432,8.558361941189387,8.663031282408928,5.17396499868337,18.807185444033056,6.657362835357703,8.887652797876353,8.117972675391306,4.4724631515082605,10.057697153841941,6.720884060895562
"Pesticides, GM Crops, Resistance and Toxicology",2.491094036844016,2.950607286644676,2.824667024907492,5.531413124003045,4.6414353210619455,4.384139002130245,3.0340182992202753,7.236303551288998,3.825394868559263,1.9478112253504198,4.69979500421018,4.257188734552672,4.312679533654221,2.603870137391614,6.657362835357703,4.648521690344288,4.42235987133588,4.041503214943545,2.2358013971729704,5.015926798468947,3.3347795369411295
"Physiology, Neurobiology and Molecular Biology",3.330190015959665,3.9163143661355284,3.7648927888586665,7.307703860419929,6.197930818297353,5.830441309918003,4.029092639093133,9.68390522942059,5.103947531039004,2.569429195366026,6.236297750139863,5.707747250325715,5.7176961581052455,3.463050353373379,8.887652797876353,4.42235987133588,8.224581053306016,5.3775837946424145,2.988128510221784,6.66545923132071,4.424676750950172
Social Insects,3.036026965887694,3.596769194707894,3.43192411081591,6.706269840559733,5.689927000973157,5.346718319680112,3.666559354980873,8.76540599210345,4.6249354747498845,2.339667687856646,5.689629518483697,5.156019048490838,5.2210467023767695,3.1565174170923873,8.117972675391306,4.041503214943545,5.3775837946424145,6.8577654744385885,2.73515891867343,6.077849804000826,4.021093553947897
Special Issue: Biomimetics and Robotics,1.6742187373219952,1.982173203733512,1.9122951528465337,3.721585894158578,3.1166577405289617,2.9672616110480736,2.047543481833887,4.86447593049868,2.5636526563478914,1.3139355667611967,3.178572660236068,2.8878730985969647,2.9110117360806798,1.7492847716708804,4.4724631515082605,2.2358013971729704,2.988128510221784,2.73515891867343,2.0365754455949725,3.3647210850828375,2.24450729301536
"Systematics, Phylogeny and Morphology",3.7516227101882564,4.427140836431712,4.234474155973151,8.315555542139085,6.991083486127081,6.592592953793103,4.517494878846216,11.01824926258252,5.718631595618119,2.904433763679306,7.065159020176869,6.445567704989191,6.440656492128884,3.8639718671855148,10.057697153841941,5.015926798468947,6.66545923132071,6.077849804000826,3.3647210850828375,10.475927445339384,4.959302562417556
Unselected,2.4865955359888283,2.936535273004643,2.8398757972134425,5.5260984745480375,4.693468343091703,4.37329536962699,3.0169699617333556,7.352768739977538,3.843838106424449,1.9253206900669984,4.68540165667764,4.311599852305542,4.332542608631517,2.578505520568067,6.720884060895562,3.3347795369411295,4.424676750950172,4.021093553947897,2.24450729301536,4.959302562417556,4.637719182701389
