,attendee_id,country,attend_as,field
79,A00099,Belgium,General,16
80,A00100,United States of America,General,10
81,A00101,Japan,General,16
82,A00102,United States of America,General,10
83,A00103,Japan,General,1
84,A00104,Japan,General,9
85,A00105,Japan,General,14
86,A00106,Pakistan,Developing country (*上記注釈をご参照ください),
87,A00107,Taiwan,General,8
88,A00108,Japan,General,11
89,A00109,United States of America,General,13
90,A00110,Japan,General,7
91,A00111,Japan,General,1
92,A00112,Japan,General,10
93,A00113,Japan,General,3
94,A00114,Japan,General,14
95,A00115,Pakistan,Developing country (*上記注釈をご参照ください),
96,A00116,Japan,General,16
97,A00117,Cambodia,Developing country (*上記注釈をご参照ください),5
98,A00118,Japan,General,17
99,A00119,United States of America,General,20
100,A00120,United States of America,General,7
101,A00121,Japan,General,14
102,A00122,United States of America,General,7
103,A00123,Japan,General,18
104,A00124,Japan,Student,18
105,A00125,China,Student,10
106,A00126,China,Student,6
107,A00127,China,Student,8
108,A00128,China,Student,10
109,A00129,China,Student,10
110,A00130,Taiwan,General,13
111,A00131,China,General,7
112,A00132,Australia,Student,3
113,A00133,India,Developing country (*上記注釈をご参照ください),16
114,A00134,Japan,General,16
115,A00135,France,General,13
116,A00136,Australia,Student,
117,A00137,Australia,Student,17
118,A00138,Australia,Student,12
119,A00139,Singapore,General,8
120,A00140,Japan,General,18
121,A00141,Spain,General,8
122,A00142,Spain,General,6
123,A00143,Spain,General,7
124,A00144,Canada,General,16
125,A00145,Canada,General,7
126,A00146,China,General,3
127,A00147,Japan,General,10
128,A00148,United States of America,General,18
129,A00149,Germany,General,7
130,A00150,China,Student,9
131,A00151,Croatia,General,12
132,A00152,United States of America,General,
133,A00153,Finland,General,13
134,A00154,UK,General,8
135,A00155,United States of America,General,10
136,A00156,Canada,General,7
137,A00157,Japan,General,3
138,A00158,Bangladesh,Student,3
139,A00159,China,General,18
140,A00160,UK,General,6
141,A00161,United States of America,General,14
142,A00162,United States of America,General,3
143,A00163,Japan,General,3
144,A00164,UK,General,15
145,A00165,Portugal,General,5
146,A00166,Greece,General,3
147,A00167,UK,General,7
148,A00168,Japan,Student,7
149,A00169,Italy,General,3
150,A00170,Japan,General,11
151,A00171,Japan,General,5
152,A00172,Belgium,General,16
153,A00173,Japan,General,2
154,A00174,Japan,General,15
155,A00175,Japan,General,8
156,A00176,Czech Republic,General,4
157,A00177,Morocco,Developing country (*上記注釈をご参照ください),11
158,A00178,South Africa,Student,3
159,A00179,Canada,General,16
160,A00180,Japan,General,9
161,A00181,Japan,General,2
162,A00182,United States of America,General,7
163,A00183,United States of America,General,14
164,A00184,Brazil,Student,
165,A00185,United States of America,General,11
166,A00186,Japan,Student,7
167,A00187,Indonesia,General,
168,A00188,Belgium,Student,16
169,A00189,Japan,General,2
170,A00190,Japan,General,1
171,A00191,Spain,General,16
172,A00192,Japan,General,7
173,A00193,Belgium,General,7
174,A00194,Finland,Student,4
175,A00195,UK,General,14
176,A00196,United States of America,General,13
177,A00197,United States of America,Student,
178,A00198,United States of America,General,7
179,A00199,United States of America,General,
180,A00200,Japan,General,7
181,A00201,Bangladesh,Developing country (*上記注釈をご参照ください),14
182,A00202,France,General,10
183,A00203,France,General,10
184,A00204,United States of America,General,10
185,A00205,Italy,General,3
186,A00206,France,General,10
187,A00207,Italy,General,20
188,A00208,United States of America,Student,7
189,A00209,Japan,General,7
190,A00210,Japan,General,7
191,A00211,China,General,1
192,A00212,Australia,General,19
193,A00213,South Africa,Developing country (*上記注釈をご参照ください),
194,A00214,France,General,
195,A00215,South Africa,General,13
196,A00216,UK,Student,17
197,A00217,Japan,General,11
198,A00218,Japan,Student,7
199,A00219,Poland,General,16
200,A00220,UK,General,6
201,A00221,China,General,3
202,A00222,United States of America,General,2
203,A00223,Japan,General,15
204,A00224,Japan,General,13
205,A00225,Japan,General,14
206,A00226,Canada,General,16
207,A00227,Australia,General,15
208,A00228,Japan,General,2
209,A00229,Sweden,General,12
210,A00230,United States of America,General,14
211,A00231,United States of America,General,14
212,A00232,Australia,General,7
213,A00233,UK,Student,15
214,A00234,Japan,General,18
215,A00235,Australia,General,18
216,A00236,Croatia,General,5
217,A00237,Canada,Student,13
218,A00238,United States of America,General,
219,A00239,Taiwan,General,4
220,A00240,Japan,General,14
221,A00241,Taiwan,General,14
222,A00242,Taiwan,Student,14
223,A00243,Japan,General,12
224,A00244,Germany,General,14
225,A00245,Japan,General,7
226,A00246,Netherlands,Student,7
227,A00247,United States of America,Student,18
228,A00248,Ghana,Developing country (*上記注釈をご参照ください),
229,A00249,Japan,General,14
230,A00250,China,General,15
231,A00251,Uruguay,General,18
232,A00252,Thailand,Student,10
233,A00253,Japan,General,7
234,A00254,Spain,General,3
235,A00255,UK,General,7
236,A00256,United States of America,General,13
237,A00257,Japan,General,16
238,A00258,Japan,General,16
239,A00259,Italy,General,18
240,A00260,United States of America,General,16
241,A00261,Australia,General,11
242,A00262,United States of America,General,7
243,A00263,United States of America,Student,14
244,A00264,United States of America,General,12
245,A00265,Japan,General,20
246,A00266,Japan,General,8
247,A00267,Taiwan,General,13
248,A00268,Netherlands,Student,
249,A00269,Taiwan,Student,14
250,A00270,Switzerland,Student,
251,A00271,Italy,General,7
252,A00272,Italy,Student,10
253,A00273,Germany,General,18
254,A00274,Germany,Student,5
255,A00275,United States of America,General,14
256,A00276,Japan,General,5
257,A00277,China,Student,10
258,A00278,Japan,General,17
259,A00279,Singapore,Student,5
260,A00280,United States of America,General,13
261,A00281,Japan,General,18
262,A00282,China,Student,5
263,A00283,Japan,General,6
264,A00284,Japan,Student,7
265,A00285,Singapore,General,14
266,A00286,Switzerland,General,4
267,A00287,Switzerland,General,7
268,A00288,United States of America,General,4
269,A00289,Australia,Student,11
270,A00290,Czech Republic,General,16
271,A00291,Spain,General,3
272,A00292,India,Developing country (*上記注釈をご参照ください),16
273,A00293,Canada,General,2
274,A00294,Sweden,Student,14
275,A00295,United States of America,General,3
276,A00296,Japan,General,2
277,A00297,China,General,10
278,A00298,Taiwan,General,7
279,A00299,Taiwan,General,
280,A00300,Japan,General,14
281,A00301,Japan,General,14
282,A00302,Japan,General,16
283,A00304,Japan,General,4
284,A00305,Germany,General,
285,A00306,Romania,Student,
286,A00307,France,General,4
287,A00308,Hungary,General,14
288,A00309,UK,General,3
289,A00310,Australia,General,14
290,A00311,Japan,General,16
291,A00312,China,General,20
292,A00313,Philippines,Developing country (*上記注釈をご参照ください),14
293,A00314,Japan,Student,14
294,A00315,France,General,5
295,A00316,UK,General,14
296,A00317,Belgium,Student,8
297,A00318,Spain,General,14
298,A00319,Canada,General,20
299,A00320,Taiwan,General,13
300,A00321,China,General,18
301,A00322,Italy,General,3
302,A00323,Taiwan,General,14
303,A00324,Canada,Student,14
304,A00325,Italy,General,14
305,A00326,Italy,General,14
306,A00327,United States of America,General,12
307,A00328,Taiwan,General,13
308,A00329,Australia,General,19
309,A00330,Japan,General,16
310,A00331,Taiwan,General,16
311,A00332,Taiwan,Student,14
312,A00333,UK,General,14
313,A00335,Japan,General,20
314,A00336,United States of America,General,10
315,A00337,Italy,General,1
316,A00338,Taiwan,General,14
317,A00339,Japan,Student,
318,A00340,Japan,General,13
319,A00341,Czech Republic,General,
320,A00342,Germany,General,17
321,A00343,United States of America,Student,15
322,A00344,Japan,General,1
323,A00345,Japan,General,14
324,A00346,United States of America,General,14
325,A00347,Japan,General,2
326,A00348,Japan,General,14
327,A00349,Japan,General,14
328,A00350,Belgium,General,7
329,A00351,UK,General,3
330,A00352,Germany,General,14
331,A00353,United States of America,General,4
332,A00354,United States of America,General,7
333,A00355,United States of America,General,3
334,A00356,Greece,General,11
335,A00357,United States of America,General,14
336,A00359,United States of America,General,7
337,A00360,Japan,General,14
338,A00361,Japan,Student,18
339,A00362,UK,General,14
340,A00363,France,General,12
341,A00364,South Africa,General,5
342,A00365,Taiwan,General,14
343,A00366,United States of America,General,5
344,A00367,United States of America,General,14
345,A00368,United States of America,Student,16
346,A00369,United States of America,General,6
347,A00370,Japan,Student,14
348,A00371,Japan,General,16
349,A00372,Japan,General,8
350,A00373,South Africa,General,14
351,A00374,Japan,Student,3
352,A00375,Japan,General,5
353,A00376,UK,General,7
354,A00377,China,General,1
355,A00378,Belgium,Student,12
356,A00379,India,Developing country (*上記注釈をご参照ください),5
357,A00380,Germany,General,7
358,A00381,Spain,General,14
359,A00382,United States of America,General,16
360,A00383,Portugal,General,4
361,A00384,United States of America,General,6
362,A00385,United States of America,Student,12
363,A00386,United States of America,General,16
364,A00387,United States of America,General,
365,A00388,Jersey,General,
366,A00389,Belgium,Student,10
367,A00390,United States of America,General,18
368,A00391,United States of America,Student,8
369,A00392,United States of America,General,14
370,A00393,China,General,10
371,A00394,Korea,Student,18
372,A00395,China,Student,6
373,A00396,Australia,General,14
374,A00397,Japan,Student,18
375,A00398,Japan,Student,1
376,A00399,Switzerland,General,4
377,A00400,Switzerland,General,4
378,A00401,Japan,General,7
379,A00402,China,General,10
380,A00403,Denmark,General,7
381,A00404,Belgium,General,5
382,A00405,United States of America,General,7
383,A00406,United States of America,Student,18
384,A00407,Estonia,General,14
385,A00408,Estonia,General,5
386,A00409,United States of America,General,13
387,A00410,China,General,7
388,A00411,United States of America,General,7
389,A00412,Netherlands,General,7
390,A00413,United States of America,General,10
391,A00414,Portugal,General,10
392,A00415,France,Student,7
393,A00416,Japan,General,18
394,A00417,United States of America,General,4
395,A00418,Canada,General,15
396,A00419,United States of America,Student,18
397,A00420,Japan,General,14
398,A00421,Australia,General,15
399,A00422,Japan,General,15
400,A00423,Australia,General,16
401,A00424,United States of America,General,15
402,A00425,United States of America,Accompanying guest,
403,A00426,Japan,General,12
404,A00427,Japan,General,14
405,A00428,China,General,10
406,A00429,Japan,General,14
407,A00430,India,Developing country (*上記注釈をご参照ください),18
408,A00431,France,General,16
409,A00432,Japan,General,5
410,A00433,Germany,General,7
411,A00434,China,Student,7
412,A00435,France,General,3
413,A00436,France,Student,7
414,A00437,France,General,7
415,A00438,France,General,18
416,A00439,France,Student,17
417,A00440,Pakistan,Developing country (*上記注釈をご参照ください),0
418,A00441,United States of America,Student,18
419,A00442,Germany,General,18
420,A00443,Korea,General,11
421,A00444,Japan,General,7
422,A00445,China,General,16
423,A00446,Japan,Student,16
424,A00447,UK,General,5
425,A00448,Japan,Student,13
426,A00449,United States of America,General,15
427,A00450,Japan,General,2
428,A00451,Japan,General,16
429,A00452,Japan,General,14
430,A00453,Japan,General,
431,A00454,Japan,General,14
432,A00455,Japan,General,10
433,A00456,Thailand,Student,12
434,A00457,UK,General,3
435,A00458,UK,General,16
436,A00459,Spain,General,14
437,A00460,UK,General,16
438,A00461,Brazil,General,3
439,A00462,Greece,General,14
440,A00463,United States of America,General,7
441,A00464,Czech Republic,Student,4
442,A00465,UK,General,14
443,A00466,Spain,General,16
444,A00467,Italy,General,3
445,A00468,United States of America,Student,14
446,A00469,Mexico,Student,16
447,A00470,United States of America,General,18
448,A00471,United States of America,General,13
449,A00472,Japan,General,7
450,A00473,Japan,General,9
451,A00474,Japan,General,11
452,A00475,Japan,General,5
453,A00476,Japan,General,14
454,A00477,Japan,General,6
455,A00478,Philippines,Developing country (*上記注釈をご参照ください),14
456,A00479,Sweden,General,7
457,A00480,Czech Republic,General,16
458,A00481,Italy,Student,7
459,A00482,UK,Student,7
460,A00484,United States of America,Student,5
461,A00485,Germany,General,15
462,A00486,Taiwan,General,14
463,A00487,China,Student,16
464,A00488,Portugal,General,10
465,A00489,China,Student,6
466,A00490,Portugal,General,17
467,A00491,Portugal,Student,10
468,A00492,France,General,3
469,A00493,Japan,Student,
470,A00494,United States of America,General,16
471,A00495,India,Developing country (*上記注釈をご参照ください),15
472,A00496,Australia,Student,11
473,A00497,China,General,
474,A00498,Poland,Student,20
475,A00499,Philippines,Developing country (*上記注釈をご参照ください),15
476,A00500,Korea,General,3
477,A00501,Belgium,Student,3
478,A00502,France,General,16
479,A00503,Tunisia,Developing country (*上記注釈をご参照ください),
480,A00504,France,General,10
481,A00505,Brazil,General,12
482,A00506,Mexico,General,7
483,A00507,Canada,Student,5
484,A00508,China,General,3
485,A00509,Japan,General,19
486,A00510,Taiwan,General,18
487,A00511,Japan,Student,16
488,A00512,Japan,General,17
489,A00513,Japan,Student,8
490,A00514,Kenya,Developing country (*上記注釈をご参照ください),11
491,A00515,Turkey,General,10
492,A00516,France,General,7
493,A00517,France,Student,15
494,A00518,France,General,6
495,A00519,Germany,General,14
496,A00520,Taiwan,Student,13
497,A00521,Poland,General,18
498,A00522,France,Developing country (*上記注釈をご参照ください),4
499,A00523,France,General,8
500,A00524,Germany,General,7
501,A00525,France,Student,8
502,A00526,Belgium,General,5
503,A00527,Belgium,Student,11
504,A00528,Belgium,Student,11
505,A00529,UK,General,5
506,A00530,United States of America,General,18
507,A00531,France,General,17
508,A00532,Japan,General,2
509,A00533,United States of America,General,8
510,A00534,United States of America,General,8
511,A00535,Japan,General,13
512,A00536,Israel,General,19
513,A00537,India,Student,6
514,A00538,Japan,General,18
515,A00539,Japan,Student,5
516,A00540,Taiwan,Accompanying guest,
517,A00541,United States of America,Student,18
518,A00542,Malaysia,General,5
519,A00543,Japan,General,14
520,A00544,Czech Republic,General,10
521,A00545,Greece,General,16
522,A00546,Japan,General,7
523,A00547,Australia,General,14
524,A00548,Australia,Student,7
525,A00549,Japan,General,10
526,A00550,Japan,General,14
527,A00551,Taiwan,General,14
528,A00552,Taiwan,Student,
529,A00553,Japan,General,15
530,A00554,Japan,Student,5
531,A00555,Pakistan,Developing country (*上記注釈をご参照ください),14
532,A00556,Taiwan,General,19
533,A00557,Japan,General,16
534,A00558,Nepal,Developing country (*上記注釈をご参照ください),11
535,A00559,Pakistan,Developing country (*上記注釈をご参照ください),14
536,A00560,Japan,General,5
537,A00561,Japan,General,14
538,A00562,Czech Republic,General,16
539,A00563,Italy,General,3
540,A00564,UK,General,13
541,A00565,Sweden,General,7
542,A00566,Sweden,General,7
543,A00567,Japan,General,11
544,A00568,UK,Student,14
545,A00569,Germany,General,6
546,A00570,Poland,General,12
547,A00571,United States of America,General,13
548,A00572,Japan,General,17
549,A00573,UK,General,8
550,A00574,Spain,Student,16
551,A00575,Belgium,General,4
552,A00576,Korea,Student,15
553,A00577,Japan,General,20
554,A00578,United States of America,General,20
555,A00579,United States of America,General,20
556,A00580,Germany,Student,18
557,A00581,United States of America,General,10
558,A00582,United States of America,General,7
559,A00583,United States of America,General,15
560,A00584,United States of America,Student,10
561,A00585,Germany,General,18
562,A00586,New Zealand,Student,11
563,A00587,Japan,General,7
564,A00588,Japan,General,19
565,A00589,Korea,General,14
566,A00590,Canada,General,3
567,A00591,United States of America,Student,8
568,A00592,Japan,Student,7
569,A00593,Hong Kong,Student,5
570,A00594,Thailand,General,14
571,A00595,Israel,Student,19
572,A00596,Japan,General,10
573,A00597,Taiwan,General,13
574,A00598,Thailand,General,14
575,A00599,France,General,17
576,A00600,Germany,General,5
577,A00601,Spain,General,7
578,A00602,Belgium,Student,17
579,A00603,UK,General,17
580,A00604,Spain,General,7
581,A00605,India,Student,13
582,A00606,Chile,General,12
583,A00607,UK,General,15
584,A00608,UK,Student,16
585,A00609,Mexico,General,7
586,A00610,UK,Student,
587,A00611,Portugal,General,4
588,A00612,United States of America,General,6
589,A00613,South Africa,General,14
590,A00614,United States of America,General,14
591,A00616,Japan,Student,19
592,A00618,China,Student,14
593,A00619,Japan,General,13
594,A00620,Japan,Student,13
595,A00622,South Africa,General,11
596,A00623,China,General,10
597,A00624,Japan,General,15
598,A00625,China,General,9
599,A00626,Japan,General,14
600,A00627,Japan,General,14
601,A00628,South Africa,General,14
602,A00629,China,Student,14
603,A00630,China,Student,14
604,A00631,Japan,General,7
605,A00632,Japan,General,7
606,A00633,South Africa,Student,3
607,A00634,South Africa,General,5
608,A00635,Germany,General,19
609,A00636,Belgium,General,20
610,A00637,Czech Republic,General,16
611,A00638,South Africa,General,14
612,A00639,Spain,General,5
613,A00640,Japan,General,7
614,A00641,UK,Student,16
615,A00642,Japan,General,3
616,A00643,Greece,General,13
617,A00644,Greece,General,3
618,A00645,Spain,General,14
619,A00647,Greece,General,15
620,A00648,Germany,General,6
621,A00649,UK,General,19
622,A00650,UK,Student,7
623,A00651,United States of America,General,13
624,A00652,Australia,General,16
625,A00653,United States of America,General,14
626,A00654,United States of America,General,14
627,A00655,United States of America,Student,14
628,A00656,Australia,General,7
629,A00657,Australia,Student,15
630,A00658,Malaysia,Student,9
631,A00659,Japan,General,5
632,A00660,Japan,General,5
633,A00661,China,Student,4
634,A00662,Japan,General,14
635,A00663,Japan,General,16
636,A00664,United States of America,General,16
637,A00665,India,Developing country (*上記注釈をご参照ください),13
638,A00666,Japan,General,6
639,A00667,Japan,General,10
640,A00668,Thailand,General,18
641,A00669,Japan,Student,2
642,A00670,Thailand,General,7
643,A00671,Sweden,Student,18
644,A00672,Australia,Student,16
645,A00674,Japan,General,17
646,A00675,China,Student,10
647,A00676,Taiwan,General,5
648,A00677,South Africa,Student,18
649,A00678,Czech Republic,General,7
650,A00679,Japan,General,5
651,A00680,Germany,General,8
652,A00681,Switzerland,General,11
653,A00682,Thailand,General,2
654,A00683,Pakistan,General,14
655,A00684,Japan,General,14
656,A00685,United States of America,General,14
657,A00686,Taiwan,Student,10
658,A00687,France,General,
659,A00688,Spain,Student,3
660,A00689,United States of America,Student,5
661,A00690,United States of America,General,15
662,A00691,United States of America,General,14
663,A00692,United States of America,General,7
664,A00693,United States of America,Student,12
665,A00694,United States of America,General,
666,A00695,United States of America,General,13
667,A00696,United States of America,Student,13
668,A00697,Japan,General,14
669,A00698,Japan,General,4
670,A00699,Australia,General,6
671,A00700,Taiwan,General,7
672,A00701,China,Student,6
673,A00702,Taiwan,General,17
674,A00703,Japan,General,15
675,A00704,Japan,General,7
676,A00705,Australia,General,14
677,A00706,Korea,Student,18
678,A00707,Philippines,General,8
679,A00708,Japan,General,14
680,A00709,Canada,Student,5
681,A00710,Japan,Student,13
682,A00711,Japan,Student,16
683,A00712,Taiwan,General,7
684,A00713,Japan,General,6
685,A00714,South Africa,Student,14
686,A00715,South Africa,General,14
687,A00716,Korea,Student,20
688,A00717,Korea,Student,18
689,A00718,Japan,General,19
690,A00719,Japan,General,18
691,A00720,India,Student,15
692,A00721,Poland,Student,20
693,A00722,Malaysia,General,13
694,A00723,France,General,
695,A00724,United States of America,General,8
696,A00725,Switzerland,General,16
697,A00726,Japan,General,10
698,A00727,Italy,General,20
699,A00728,Taiwan,General,14
700,A00729,United States of America,General,13
701,A00730,Japan,Student,20
702,A00731,Germany,General,20
703,A00732,South Africa,Developing country (*上記注釈をご参照ください),14
704,A00733,Poland,General,16
705,A00734,Germany,General,9
706,A00735,United States of America,General,2
707,A00736,Austria,General,7
708,A00737,United States of America,General,11
709,A00738,United States of America,General,13
710,A00739,United States of America,General,7
711,A00740,United States of America,General,7
712,A00741,United States of America,General,10
713,A00742,Japan,General,16
714,A00743,United States of America,Student,6
715,A00744,United States of America,General,7
716,A00745,United States of America,General,20
717,A00746,Latvia,General,18
718,A00747,Canada,General,3
719,A00748,Japan,Student,8
720,A00749,United States of America,General,12
721,A00750,Japan,General,16
722,A00751,Korea,General,9
723,A00752,Japan,General,16
724,A00753,Japan,General,3
725,A00754,India,Developing country (*上記注釈をご参照ください),2
726,A00755,Taiwan,Student,7
727,A00756,Belgium,General,17
728,A00758,UK,General,17
729,A00759,United States of America,General,14
730,A00760,Canada,Student,16
731,A00761,United States of America,General,16
732,A00762,United States of America,Student,11
733,A00763,Australia,Student,5
734,A00764,Japan,General,16
735,A00766,Japan,Accompanying guest,
736,A00768,Japan,General,14
737,A00769,UK,Student,18
738,A00770,United States of America,General,7
739,A00771,New Zealand,General,14
740,A00772,Japan,General,7
741,A00773,Japan,General,17
742,A00774,United States of America,General,17
743,A00775,China,General,2
744,A00776,China,General,7
745,A00777,Japan,General,14
746,A00778,Japan,General,17
747,A00779,Australia,General,6
748,A00780,Japan,Student,6
749,A00781,Japan,General,13
750,A00782,Thailand,Student,15
751,A00783,Thailand,Student,13
752,A00784,Japan,General,8
753,A00785,Korea,Student,18
754,A00786,Korea,Student,18
755,A00787,Taiwan,General,7
756,A00788,Japan,General,20
757,A00789,Japan,General,2
758,A00792,Japan,General,10
759,A00793,Thailand,Student,3
760,A00794,Singapore,General,14
761,A00795,Japan,General,7
762,A00796,Korea,General,
763,A00797,Korea,General,18
764,A00798,Japan,General,14
765,A00799,Japan,Student,3
766,A00801,Japan,General,8
767,A00802,Taiwan,General,17
768,A00803,Japan,Student,7
769,A00804,Japan,General,10
770,A00805,Iran,Developing country (*上記注釈をご参照ください),15
771,A00806,Japan,General,7
772,A00807,Japan,Student,8
773,A00808,France,General,7
774,A00809,Austria,General,7
775,A00810,China,General,
776,A00811,Poland,General,20
777,A00812,Italy,General,16
778,A00813,UK,General,4
779,A00814,Germany,Student,10
780,A00815,Turkey,General,16
781,A00816,Switzerland,General,4
782,A00817,Netherlands,General,5
783,A00818,Japan,General,10
784,A00819,South Africa,General,8
785,A00820,Poland,General,20
786,A00821,Belgium,Student,7
787,A00822,China,General,17
788,A00823,Japan,General,3
789,A00824,Italy,General,14
790,A00826,United States of America,General,14
791,A00827,Brazil,Student,
792,A00828,UK,General,16
793,A00829,United States of America,General,7
794,A00830,Taiwan,General,13
795,A00831,United States of America,General,7
796,A00832,United States of America,General,15
797,A00833,United States of America,General,4
798,A00834,UK,Student,13
799,A00835,UK,Student,13
800,A00836,UK,General,10
801,A00837,United States of America,General,13
802,A00838,India,Developing country (*上記注釈をご参照ください),5
803,A00839,United States of America,General,16
804,A00840,Chile,General,3
805,A00841,Chile,Student,7
806,A00842,United States of America,General,18
807,A00843,United States of America,Accompanying guest,18
808,A00844,United States of America,General,16
809,A00845,United States of America,Student,10
810,A00846,United States of America,General,20
811,A00847,United States of America,General,10
812,A00848,United States of America,General,14
813,A00849,Taiwan,Student,3
814,A00850,United States of America,General,20
815,A00851,Australia,Student,7
816,A00852,Japan,General,5
817,A00853,Japan,General,7
818,A00854,Japan,Student,7
819,A00855,Taiwan,General,13
820,A00856,China,General,10
821,A00857,United States of America,General,12
822,A00858,Japan,General,7
823,A00859,Japan,Student,7
824,A00860,Japan,General,15
825,A00861,Japan,General,8
826,A00862,Australia,General,18
827,A00863,Japan,General,16
828,A00864,China,General,6
829,A00865,Japan,General,18
830,A00866,Japan,General,16
831,A00867,Taiwan,General,18
832,A00868,Taiwan,General,19
833,A00869,Japan,General,18
834,A00870,Japan,General,14
835,A00871,Japan,General,2
836,A00872,Taiwan,Student,15
837,A00873,Japan,General,14
838,A00874,Japan,General,7
839,A00875,Japan,Student,5
840,A00876,Japan,General,5
841,A00877,Japan,General,18
842,A00878,China,Student,5
843,A00879,Taiwan,General,14
844,A00880,Taiwan,General,14
845,A00881,Philippines,Accompanying guest,
846,A00882,China,General,
847,A00883,Philippines,Developing country (*上記注釈をご参照ください),16
848,A00884,Taiwan,Student,
849,A00885,Japan,Student,0
850,A00886,Réunion,Student,11
851,A00887,Japan,General,14
852,A00888,Japan,General,14
853,A00889,China,General,6
854,A00890,Malaysia,General,
855,A00891,Taiwan,Student,20
856,A00892,Japan,General,17
857,A00893,France,Student,7
858,A00894,Taiwan,General,16
859,A00895,China,General,2
860,A00896,Norway,General,7
861,A00897,Spain,Student,6
862,A00898,UK,Student,13
863,A00899,France,General,4
864,A00900,Israel,Student,17
865,A00901,Spain,Student,3
866,A00902,France,General,16
867,A00903,China,General,7
868,A00904,Croatia,General,14
869,A00905,France,General,4
870,A00906,Japan,General,8
871,A00907,India,Developing country (*上記注釈をご参照ください),8
872,A00908,Poland,General,
873,A00909,Italy,General,12
874,A00910,Japan,Student,18
875,A00912,Greece,Student,4
876,A00913,Germany,General,3
877,A00914,Sweden,General,18
878,A00915,Sweden,General,18
879,A00916,Thailand,General,18
880,A00917,Japan,General,14
881,A00918,Japan,General,15
882,A00919,Japan,General,7
883,A00920,Greece,General,3
884,A00921,Japan,General,16
885,A00922,United States of America,General,20
886,A00923,Belgium,Student,14
887,A00924,China,General,16
888,A00925,Taiwan,General,14
889,A00926,Germany,General,16
890,A00928,France,Student,10
891,A00929,France,Student,10
892,A00930,France,Student,10
893,A00931,China,General,
894,A00932,United States of America,General,15
895,A00933,China,General,8
896,A00934,Switzerland,General,15
897,A00935,Canada,General,20
898,A00936,United States of America,General,7
899,A00937,United States of America,General,3
900,A00938,Canada,General,16
901,A00939,United States of America,General,14
902,A00940,United States of America,Student,7
903,A00941,United States of America,General,17
904,A00942,Israel,General,17
905,A00943,United States of America,General,3
906,A00944,United States of America,Student,
907,A00945,United States of America,Student,4
908,A00946,Australia,General,15
909,A00947,Japan,Student,14
910,A00948,Japan,General,17
911,A00949,Japan,Student,3
912,A00950,United States of America,General,13
913,A00951,Japan,General,10
914,A00952,United States of America,Accompanying guest,0
915,A00953,Japan,General,8
916,A00954,Japan,General,9
917,A00955,Japan,General,8
918,A00956,China,General,4
919,A00957,Australia,General,10
920,A00958,Taiwan,General,14
921,A00959,Japan,General,7
922,A00960,Japan,General,10
923,A00961,Japan,Student,10
924,A00962,Australia,General,7
925,A00963,Réunion,General,3
926,A00964,Japan,General,17
927,A00965,Japan,General,7
928,A00966,Japan,General,7
929,A00967,Korea,Student,7
930,A00968,Japan,General,7
931,A00969,Japan,General,7
932,A00970,Japan,General,10
