presentation_id,presentation_number,presentation_title,presentation_abstract,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49
Poster8-10,P0279,***,***,0.07545382,-0.5557391,0.7581383,0.19223078,-0.91903543,-1.7028079,0.91962093,0.9565423,-2.5309114,0.6732475,-1.7494496,-0.06710666,-0.79983,2.5629675,-0.35965347,1.1286525,-0.06313449,2.0154052,-2.4050786,-1.1497314,0.15723969,-0.80227965,0.8453748,1.0151896,0.60545796,0.35130283,0.12672512,0.13295257,-0.024753606,0.88964623,-1.8164803,0.6060491,2.3233235,-0.022404848,0.3224156,1.744823,1.1352491,-1.2523601,-0.74155074,-0.629449,2.4276643,-0.8456882,0.55702525,-0.060230255,0.5132351,2.1535046,-0.20023401,-0.09015502,2.3559573,2.0320828
Poster8-11,P0280,***,***,0.50522095,0.9050127,-1.6558417,-1.7251277,-0.0050203786,-3.16372,-0.44411474,2.574184,-1.1744019,-0.3538574,1.8134812,-0.5795221,-2.7139034,-0.29210812,0.07458183,-0.2894471,0.32680014,0.6891871,-0.7710734,-2.9023411,-0.51741457,0.12495942,-1.6319319,0.9126536,0.26139316,1.8051598,-1.9482874,-1.0636604,-1.3185313,0.90396184,0.16502914,2.0486257,-0.6699297,-0.94780415,-0.48429134,-0.19965023,2.449117,-0.08592418,0.14527147,1.8571659,-0.61716485,0.6964886,-0.80910635,0.08851068,0.8317294,0.74439394,1.0891845,1.3867897,0.10210806,1.4800085
Poster8-12,P0281,***,***,1.5681611,0.6097272,1.1078421,-0.43839344,-0.3979469,-2.5981414,0.64512575,0.783161,-0.46017894,-0.039467864,-1.5229346,0.4994957,-0.3252076,2.2656293,1.1241955,1.7617882,-1.2162092,2.5853846,-2.1096227,-1.0199145,0.44348326,-0.36302704,0.22904247,-1.8912464,1.2160517,-0.6406689,-0.7531216,-0.34875008,0.6194547,0.44588488,-1.3826883,-0.47422045,-0.59984845,-0.59881794,2.546294,0.5164644,0.196946,-1.0183916,1.5129877,-0.7364033,2.609325,0.59961224,1.3368595,0.36922544,3.3012948,0.6521311,0.55360156,-0.28276715,1.6445011,1.6458414
Poster8-13,P0282,***,***,-2.6392713,-0.59864455,0.2361178,-1.028554,-0.6681267,-0.69045144,-0.88944834,-0.2790157,-0.93908596,-1.1337312,-1.267692,-0.7449441,-0.39611167,0.6170111,-1.2490846,0.85672307,1.1648942,1.0042726,-1.8353301,1.3866714,-0.6454836,1.7597157,-0.40986803,1.533372,0.7267081,-1.5022354,-0.64655054,-0.15629512,-1.3391114,0.14176077,0.7903282,0.69795924,1.2564706,0.98310983,-1.1514406,2.5993254,-0.7037079,-0.27402377,2.4342315,0.47892353,0.043579124,-1.1496342,1.4560468,-1.0157964,1.6853049,-0.9723516,-1.8487742,-0.37477797,-0.65061575,1.01282
Poster8-14,P0283,***,***,-1.2552394,-0.89693004,-0.25746867,-0.8535035,-0.7296359,-0.14449295,0.040339846,-0.6324108,-0.1732589,-1.5422434,0.23225786,-1.1220235,-0.2224803,1.068935,-0.7035092,0.16969499,-0.2737946,2.3149078,-1.3524401,-0.5598825,0.63202614,0.7661259,1.6567439,0.97974306,2.3078394,1.065466,0.34515563,1.0882441,0.2273538,-0.6515295,-1.0243324,-0.61635023,-1.1128182,-0.36736068,2.9635315,0.79406303,-1.8269049,-0.664885,1.8468463,-0.18327086,-1.0870112,-0.05911974,-0.3976992,-3.2370682,1.1749775,0.013354526,-0.2646073,-0.477936,-2.0375257,-0.9893398
Poster8-15,P0284,***,***,1.1619436,3.301325,-0.04446242,0.2139212,-1.36456,-3.215839,-2.6664727,-0.30492896,-1.2648485,1.7054,0.27410164,-0.053807274,-1.1074907,-0.6182983,0.14219964,-1.6511236,0.013105411,0.686106,-4.497694,0.91607916,0.17341624,-0.43747437,0.800664,-0.51986057,6.1057816,-2.1586635,-0.015059038,-0.40963268,-0.52931833,2.0490656,-0.84458864,0.20780598,2.2734296,0.40033457,1.9613568,0.08474382,-0.6444804,1.4265085,0.62105495,0.8243365,-0.8013749,1.7011158,-2.1984224,1.0074813,0.246493,-0.38731867,0.54947954,0.57370543,2.8501177,1.060205
1-1-01,1-1-01,***,***,1.4741647,1.0430746,0.82004887,-1.5783621,-1.1358227,-1.090989,-2.1254187,-0.27023444,-3.8626215,-2.1368856,1.6285985,2.316335,-1.3993914,1.1328907,-1.7159216,0.07685132,0.71198994,-0.71916765,-2.326129,-1.7048603,0.34713274,-1.3667159,-0.20521615,1.5929207,1.516847,0.445209,-1.0264595,0.15987065,-1.1813393,0.44473693,1.9019736,0.34822723,2.2986336,-1.4396603,1.819646,1.101835,0.5771927,-1.913902,4.014791,1.9363253,-1.140743,-1.298317,0.5086656,1.1189756,0.20897049,-0.42063177,-0.040292248,-0.31818178,-0.9676121,1.0890551
1-1-03,1-1-03,***,***,0.811997,1.6242808,0.4739325,-3.9667623,0.00521912,-0.013914508,-1.3147216,-0.059961103,-0.9085147,-1.6448871,0.872408,1.6089425,-3.8701692,0.7274935,-2.0896363,-1.361259,1.6752155,0.3923711,-2.5749147,-0.9371561,-1.3998206,-2.0963137,-1.1909388,-0.04230561,4.9022384,-0.97316676,1.7659323,-0.05949477,-2.509311,0.7033228,-0.54402363,-0.16683751,-0.6535603,-1.1176958,1.7696553,1.2794126,-0.5245409,0.36333406,1.3050222,-0.8299978,-1.4422785,0.4733388,-0.7151805,3.500228,0.30948433,-0.0136272805,1.9619268,2.595473,-0.118689105,0.3990558
1-1-04,1-1-04,***,***,-0.47170687,0.12207897,-1.1850772,-2.080428,-0.67022055,-2.9702518,-0.65678257,0.041270964,0.18222304,1.2353104,0.18503502,1.4838536,-0.33138973,-0.7045321,0.092283465,0.3736098,1.4629878,-1.6179658,-2.8284793,-2.7830527,-1.057874,0.98611706,-0.17387708,-0.85387075,0.5332301,0.14338961,0.6987791,-1.0622826,-2.1047757,-0.16680378,-0.0860568,-0.44664773,0.51548773,1.0781124,0.27006313,-1.8759537,3.378038,-2.0285318,-0.3864023,1.2936481,-0.29763812,0.24479814,1.7298325,-0.53996414,0.41841418,0.23006143,2.6053648,3.2415068,-0.4253932,1.696264
1-1-05,1-1-05,***,***,0.53722936,2.6562212,0.5016132,-2.4899318,1.0604646,-2.004556,-0.88991696,2.0370998,-1.6024442,-0.1193244,-0.5582544,0.92689276,-2.2021396,0.41801715,-1.1922084,-0.6843161,0.8322983,-1.2909517,-1.9910414,-3.2695086,1.8474994,-1.9153378,-1.1496717,0.26311556,1.4571471,0.052701607,-0.9854847,1.7875212,-1.7018166,-0.06459121,1.0888549,0.64211154,0.75442773,-1.7648147,0.9004367,-0.69554174,0.9349532,-0.87730414,3.376214,1.1330591,-2.4743478,-0.54462075,-0.27603278,1.8695004,0.07522734,1.4919933,2.141934,-0.59252155,0.63511634,0.19776323
1-1-06,1-1-06,***,***,1.5595425,1.052641,-0.20469011,-3.1373675,-0.31089678,-2.4948862,0.5452869,-0.27667135,-1.6894696,-1.2852128,2.4069068,1.7082824,-1.3502827,1.4311801,0.7453423,0.50606346,-0.021818921,1.058814,-1.8868098,-1.0220113,0.10477805,-0.64141333,-1.1420262,2.3272495,0.5530836,-0.65635294,-1.1456149,-0.69213134,-1.1190513,-0.43993354,0.30959,0.06573514,-0.56163293,-1.0764132,0.23398936,0.72995865,0.3196395,-1.4104315,2.1114473,0.61822283,-1.6240919,0.7743624,-0.56886715,0.33672053,0.47193396,-1.586877,0.4122813,-0.2661873,-1.2220988,-0.5891201
1-1-07,1-1-07,***,***,2.4156368,-0.4905071,0.86182934,-2.4921703,-1.6395118,-1.3518566,-0.7816323,0.86725533,-0.20002149,0.16157514,0.54198843,2.0636306,-1.4910924,0.7037144,0.9827659,-1.4659076,-1.1139688,2.2964838,-3.0186388,-1.8905072,0.97777027,1.4334747,0.33134902,0.5339942,1.7755861,1.6195381,-0.57723594,1.1232178,0.09738557,-0.4241456,0.66738826,0.48796347,-2.4236927,1.1016,0.79797435,0.7846725,0.5622246,-0.37951976,-0.03987261,1.4562005,-0.95822006,-1.1623294,-1.7137316,-0.8375132,-0.28538737,-1.0385838,1.4476503,1.9565334,-0.92660266,0.51900613
1-1-08,1-1-08,***,***,-1.779934,0.94787955,3.1054451,-1.4976019,1.0009115,-1.4272926,0.8482564,1.1309272,-1.4787389,0.19095092,1.1812495,1.1292696,0.9198336,0.7833641,-0.4656419,-0.43904164,1.9409058,0.80970687,-3.4783053,-0.7202909,-1.8354617,0.6310748,-1.7998399,-0.8503454,3.4336479,2.5281367,-1.4281192,0.9713277,-2.788596,-0.5655392,2.4473362,-2.7072592,0.1519474,-1.1678483,-0.639258,1.2174103,-0.3906053,-0.97464496,0.5292038,1.5144415,-0.12315036,-0.0566624,-0.37478355,-0.93534744,-0.5329672,0.52816826,-0.93051434,-0.31577158,-1.584956,0.9385607
1-1-14,1-1-14,***,***,0.36840364,0.022640374,-0.81934166,-2.3653953,-0.66364163,-2.5934408,0.030782234,-0.1282107,-1.2056378,-0.7869883,2.1698022,1.3811072,-2.1202648,1.2688092,-0.11030304,-0.10071354,1.0352877,0.7849613,-1.7204643,-0.78191644,-0.5760651,-1.517546,-0.44493434,1.8878777,0.8705397,0.31191754,-1.1354434,0.34269246,-0.21962467,0.3645564,0.32104123,0.83073336,-0.1874418,0.21394753,1.0068868,1.183509,-0.25238082,1.299629,-0.44593713,-0.13068298,0.029070681,-0.41903666,-1.3053981,-0.24431248,0.43179926,-0.26197916,-0.4968436,0.71088153,-0.24927776,0.6373877
1-1-09,1-1-09,***,***,0.26816115,0.27647254,-1.3218329,-1.5219686,-0.28892738,-1.3166021,-1.090854,-0.72576714,-1.3180704,1.6907617,0.21073937,0.5387322,-1.7748137,1.2697648,0.7193028,-1.1591816,-0.5738601,0.3012805,-3.4143035,-1.6308274,0.55345166,-1.4435079,-0.9154184,0.32128817,1.3084631,1.4452022,-0.35108384,-1.0746588,-0.8461512,-0.0074874666,-0.15643826,1.1611396,-0.24586552,0.5908323,-0.19613726,-0.52478707,1.8867071,0.40152034,0.9854373,0.48666215,-0.3048857,-2.274719,-1.5661222,-0.004233392,-0.049086135,-0.5508192,0.7380006,1.5757625,0.39750734,1.3875421
1-1-10,1-1-10,***,***,0.1301387,0.30594712,0.69957095,-3.0857458,-0.28491756,-0.12824379,-0.26142684,0.22767895,-0.44803816,0.27091715,0.8377105,3.1581085,-1.4339808,0.8004144,1.6316078,1.7734463,-1.1698569,2.9210901,-1.5161512,-0.17744358,-0.1564558,-0.432934,0.11084475,0.54363424,4.2079062,0.89007264,0.40850407,1.8637733,-1.6442175,-0.6364311,0.34404624,-0.72904867,-0.3641192,0.6011332,1.3220617,-0.13827206,-0.34561795,1.1233581,-0.88846743,-0.15387194,0.14591347,-0.9969728,-0.5485777,0.2409225,0.020607233,-0.1760392,2.34674,1.6760527,0.5360997,1.8460021
1-1-11,1-1-11,***,***,0.17679359,-0.32661384,0.19940574,1.000311,-0.28567415,-1.0524813,1.5323408,1.2704456,-2.446868,-0.014702504,2.0100372,0.050659273,0.7173138,1.8139294,0.47220054,2.5941868,0.8388648,2.5341992,-3.041623,-1.9408641,0.29338825,-0.8493751,1.0063258,-0.24952428,2.0633967,2.7044492,0.34304672,1.0025225,0.022307653,1.5804768,1.2183558,-1.5230589,2.6538503,0.17957543,2.3627152,0.8990938,1.7968158,-0.61784256,-0.84587294,0.838401,2.6289861,-0.02300584,-0.5110935,-1.1879002,0.46941236,1.7140403,-2.0381794,1.0943604,1.1881797,0.57608813
1-1-12,1-1-12,***,***,-1.5119988,2.7106879,1.4969071,-2.2176433,0.38910577,-0.3969585,2.3609598,-1.4320387,-2.6150577,0.9384835,0.15499835,-0.5105909,-0.6075488,0.78875816,0.22625154,1.3862152,0.92216533,1.262957,-2.7347465,-1.4985142,-0.8621166,-1.8786038,0.18970992,-1.2668041,0.21424793,0.99435884,0.0530084,1.8896786,-2.3418539,-0.9253021,0.21597086,-1.0195662,1.2691095,0.79675895,1.6608627,1.3177483,-1.1332338,0.37405983,1.8690723,0.21192053,1.1646945,0.28715575,-0.7116892,-0.029457415,-0.6552426,1.5406349,-1.5609126,-0.20474127,0.238724,0.05351168
1-1-13,1-1-13,***,***,1.201272,1.2294005,0.613578,-2.8255222,0.7458686,-2.5870996,-0.4781004,1.1190099,-0.47240555,0.39771998,2.6041918,2.5836663,-4.383955,2.095034,-0.78021777,-2.9503272,2.05704,2.7606535,-2.1748686,-0.944506,-0.5616378,-2.5653005,-1.8143134,2.8521774,2.5193462,1.2848548,0.47169617,0.02323246,-1.6764601,-0.36820373,0.3679133,1.661952,-1.1143434,-1.5677449,1.097232,-1.1619965,0.7932018,1.3431729,1.8978606,0.8445851,-0.5978989,0.44231182,0.12015031,2.4194806,0.29523492,1.5525041,2.382001,-0.9047255,0.7919543,-0.6769219
2-4-07,2-4-07,***,***,-0.8481272,-2.0728295,-1.4995253,-4.0327544,0.9792011,-1.5711212,-0.90474844,-0.55643934,-0.8716108,-1.943779,-3.1236644,0.34405023,0.24863468,0.3164057,-0.7762722,-1.2279186,0.13668239,0.76179993,-1.0898834,1.4148511,-1.7322543,-0.9684207,0.6300021,2.713611,2.739783,-0.6025978,0.6284128,0.586333,-1.4165695,-2.6818004,-2.7317138,2.7464573,0.3110967,-0.38986906,1.085189,-0.27239937,-0.340752,0.781305,1.1507475,-0.55532074,-1.0920458,0.69654375,-1.006517,-0.08736826,3.2858188,0.1269259,5.2279,0.18664001,1.4481779,-0.23033118
7-5-11,7-5-11,***,***,1.0690787,-1.3585564,1.2383649,-0.069110505,-0.044619966,-1.4147552,0.58287644,2.2610517,1.4974228,1.6321688,-1.3876475,-0.49770945,0.99402153,3.2651663,0.094376765,0.3513038,5.3647127,2.669758,-1.7383089,0.44304952,-0.76950246,-0.3152571,1.7318085,0.878371,2.1566014,0.29118732,-1.3731749,-0.3311629,-0.8854203,0.5029395,-0.7624612,-1.297427,2.807168,-0.4716618,0.78697515,0.736745,3.1449084,-0.5981135,1.0033475,0.84181476,0.82831866,-1.3743371,1.7325106,0.7548969,3.9420633,2.1120126,4.0963273,0.2978901,3.4392953,2.3528757
1-1-15,1-1-15,***,***,1.0478276,1.4028169,-1.2325511,-2.4883914,0.6552559,-0.794547,-0.68643093,1.3203179,-1.3442948,-0.24481119,-0.09719658,0.6004267,-3.3175714,2.2350173,-0.64032835,-1.5870148,1.9489603,-0.055854835,-2.9719684,-1.2172511,1.7723715,-2.1947126,1.4488217,1.093373,0.5360155,0.43262324,-1.2417295,0.37895152,-1.6630545,0.9084121,-0.11376955,0.8090202,-0.39764407,-1.0094475,-0.8778498,-1.0553634,0.41514185,0.71196693,1.050696,0.27860808,-0.6180756,-0.6178224,-2.1116707,1.0751241,-0.2721574,-0.1910189,0.18008946,1.1597663,1.4455403,2.4593642
1-2-01,1-2-01,***,***,0.36499673,1.8129838,-1.2283254,-2.2944815,-0.77523524,-1.3736742,-0.63863796,0.05833809,-0.8975273,-0.46500638,-0.021379022,0.03592239,-1.6756761,0.12683295,0.87142146,-1.8303351,1.0377656,1.0370448,-2.5356824,-3.2528095,-1.4943002,-2.9543905,-0.9217411,-1.6678313,1.2486069,0.36743024,-0.48550603,-0.41646498,-1.6730889,0.2827824,0.053883515,0.96015626,-0.48056522,0.26120704,0.699724,0.28385335,0.4470663,0.517134,1.3313948,-0.8519411,0.41856235,-1.2328756,-0.28973806,0.30362728,-0.5725723,1.4140816,-1.124668,0.44830775,-0.7735114,1.3811201
1-2-02,1-2-02,***,***,0.6272522,2.5934572,-1.4704627,-2.485099,-1.1501354,-2.2561977,-2.1371484,1.00437,-1.5560052,-1.169025,1.1535566,1.9003216,-5.380583,1.7139344,-0.79519004,-3.4618583,0.40315112,-1.0670127,-3.577577,-0.0086563565,-0.7216274,-2.5241563,-0.5605085,0.9040904,1.58196,1.5550058,0.9691842,-0.10281332,-1.4061896,0.033771317,1.5646734,0.77880543,0.07328576,0.10060722,2.633391,-0.5586451,0.6935044,0.09411278,1.1746118,1.6232958,-0.9055757,1.1120826,-0.8894335,1.3161951,-0.74263597,1.078003,0.03160524,-0.62811553,0.6796141,1.1969924
1-2-03,1-2-03,***,***,1.1867045,1.2860634,-0.39087838,-1.947804,-0.9091828,-3.8979654,-0.67980134,-0.79537404,0.5242435,-0.6741798,0.5683338,0.33874425,-1.9085466,2.002054,0.7445761,-1.4661949,-0.21051857,0.534155,-2.3443406,-1.5495625,-1.0568804,-2.6299462,0.24804783,-0.27713582,2.2161682,0.04216225,-0.03711669,-0.7486743,-1.8854477,0.87730163,0.94862527,1.4363058,0.40152627,0.79571646,2.5526896,-0.51233035,1.0861028,-1.5372612,0.5275345,0.76607287,-0.12601893,-2.0295217,-0.13117743,0.6174868,0.07273631,-0.14326611,0.21076657,0.99864256,0.09350307,-0.6329655
1-2-04,1-2-04,***,***,0.75506985,2.0114563,0.100555696,-1.7734383,-0.72902215,-1.8537178,-2.8965898,2.7354722,-0.76011944,-1.0694661,-1.276133,0.6975341,-5.2515874,1.9172956,-2.3436983,-1.9822408,1.1024349,-0.5795169,-2.7713344,-0.8916619,-0.23695157,-3.650694,-0.44708046,0.3801824,2.6687052,0.18358651,-2.0936148,0.25014356,-0.74416554,-0.54484206,1.9040924,-0.017519416,0.8924688,-1.0256228,0.6287515,-0.091022484,2.06296,-0.254956,1.8881992,1.270595,-2.3906991,0.50579804,0.23613234,2.199124,-0.20608178,0.77978456,1.486295,-0.37224597,0.45541102,2.157903
Poster13-18,P0458,***,***,0.8788766,0.49261174,0.22402367,-3.2916439,1.2929587,-1.717771,-1.7026985,-1.4239739,-1.9245224,0.37130028,1.5150843,1.6807104,-2.4469726,2.4545102,-0.32054463,-0.26777253,0.933342,1.2825336,-2.6609108,-0.3584702,1.0013266,0.8354234,-1.3991747,0.9190427,1.0754567,-1.384326,-2.9678075,-1.0366234,0.26480225,1.3227775,1.8454593,1.5095994,-0.3515419,-0.76991147,0.09609929,1.158377,1.0204794,-0.036727067,1.6337086,1.713954,-2.0034893,-2.9613757,-0.35973445,1.8677274,0.8392024,-0.7879275,2.103505,1.5625312,-0.4610273,0.20562395
1-2-05,1-2-05,***,***,1.1065216,0.9289456,1.8414459,-1.8945348,-0.48918608,-2.7400799,0.1868867,-0.288095,-0.9510923,1.099594,-0.411765,0.68607813,0.4091964,-0.83470285,-0.18727711,0.9237486,-0.82042664,1.0491737,-2.9582381,-0.7595093,0.5663302,1.505267,-0.0011860183,-1.9888327,2.870291,0.62017006,-1.7837274,1.7404317,-1.6329123,1.3332049,0.89700615,-1.553767,-1.3974124,-0.72554785,2.6124232,-0.47088823,0.4220886,-1.6035192,1.366096,2.1442962,1.2813784,-1.487955,-0.9366273,0.23785895,0.21673979,-0.122791685,-0.22917451,1.4781215,-1.1499395,-0.52989066
1-2-06,1-2-06,***,***,0.0070513133,1.7482291,-1.3046668,-1.8961017,1.0030353,-1.9159328,-1.1519791,-1.2311071,-0.7102547,-0.612707,-0.2847259,1.0376296,-1.5260925,3.5847359,0.6429659,-1.4830463,-0.111827835,1.0846043,-2.5124974,-2.1137638,1.1959354,-2.332845,-0.04851811,0.8269878,2.610993,-2.0584328,-0.2670343,0.311302,-2.273989,1.2586855,-2.0655937,2.4109998,-1.7597262,0.71270335,2.475966,-0.59695584,1.0321612,1.223324,0.46400902,1.5656582,0.36072326,0.6946629,0.4072307,0.47356832,-0.46490815,-1.0656308,1.6116977,-0.42342573,3.5683024,1.0019317
1-2-07,1-2-07,***,***,1.4289205,1.466014,0.04360122,-3.5536704,1.0496014,-2.5989308,-0.85094863,-0.96593595,-1.4171525,0.03270484,0.657431,1.9845656,-2.4091778,0.90744114,1.927898,-2.7873642,0.22168374,1.2393954,-2.2900379,-1.0837786,0.30716413,-1.2583594,0.72077256,2.1500244,1.1634833,-1.8985493,0.8045683,1.776369,-0.21900895,0.19638126,1.1892279,0.30953404,1.4093577,0.012253894,1.2154831,0.6754839,-1.0074595,0.09805573,1.6594151,0.745896,-0.66341037,-1.2351439,0.6816513,-0.5422872,-0.39362672,-0.71646154,1.533507,0.9273502,-0.6150797,0.44163555
